"Manuscript H-ID",nomNotice,"CartulR Entity ID","iiif manifest"
1605,"Archives départementales de la Côte-d'Or, G 2316 (cart. 92)",12485,https://bvmm.irht.cnrs.fr/iiif/32770/manifest
1611,"Archives départementales d'Eure-et-Loir, G 2959",12490,https://bvmm.irht.cnrs.fr/iiif/31875/manifest
1612,"Bibliothèque nationale de France, lat. 10026",12491,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100384733/manifest.json
1613,"Centre historique des Archives nationales, LL 1171",12492,https://bvmm.irht.cnrs.fr/iiif/33577/manifest
1616,"Archives départementales du Calvados, H 0117",12495,https://bvmm.irht.cnrs.fr/iiif/31671/manifest
1625,"Bibliothèque municipale de Tonnerre, 0029 (29)",12503,https://bvmm.irht.cnrs.fr/iiif/33775/manifest
1631,"Bibliothèque nationale de France, lat. 09887",12509,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9077685k/manifest.json
1650,"Centre historique des Archives nationales, S *1012",12525,https://bvmm.irht.cnrs.fr/iiif/33607/manifest
1671,"Archives départementales de Maine-et-Loire, H 1773",12544,https://bvmm.irht.cnrs.fr/iiif/1331/manifest
1690,"Bibliothèque nationale de France, Coll. Baluze 038",12561,https://gallica.bnf.fr/iiif/ark:/12148/btv1b107216626/manifest.json
1693,"Archives départementales du Cher, G(021) 0001",12564,https://bvmm.irht.cnrs.fr/iiif/31648/manifest
1748,"Bibliothèque nationale de France, nouv. acq. lat. 1933",12613,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100384879/manifest.json
1762,"Centre historique des Archives nationales, LL 1583",12626,https://bvmm.irht.cnrs.fr/iiif/33590/manifest
1781,"Bibliothèque nationale de France, nouv. acq. lat. 0756",12643,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100322738/manifest.json
1787,"Archives départementales de Vaucluse, G(008) 0030",12649,https://bvmm.irht.cnrs.fr/iiif/31533/manifest
1802,"Archives départementales de l'Aude, H 0008",12662,https://bvmm.irht.cnrs.fr/iiif/31754/manifest
1815,"Archives départementales du Cher, G 0002",12674,https://bvmm.irht.cnrs.fr/iiif/31633/manifest
1816,"Bibliothèque municipale d'Arras, 1020 (0473)",12675,https://bvmm.irht.cnrs.fr/iiif/24891/manifest
1817,"Archives départementales de la Moselle, H 1335*",12676,https://bvmm.irht.cnrs.fr/iiif/23446/manifest
1822,"Bibliothèque nationale de France, lat. 10944",12680,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100345538/manifest.json
1831,"Bibliothèque nationale de France, lat. 05411",12689,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84526553/manifest.json
1867,"Archives départementales de Saône-et-Loire, G 0114A",12720,https://bvmm.irht.cnrs.fr/iiif/32961/manifest
1877,"Archives hospitalières de Caen, H non coté 0293",11452,https://bvmm.irht.cnrs.fr/iiif/31723/manifest
1885,"Bibliothèque nationale de France, lat. 11411",12737,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84386681/manifest.json
1894,"Bibliothèque nationale de France, nouv. acq. lat. 0461",12745,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10032639t/manifest.json
1895,"Archives départementales de l'Aube, H(040) 0126",12746,https://bvmm.irht.cnrs.fr/iiif/33825/manifest
1913,"Coll. part. Bibliothèque du Saulchoir, Rés. ms. B 03",12762,https://bvmm.irht.cnrs.fr/iiif/21955/manifest
1953,"Bibliothèque nationale de France, nouv. acq. lat. 0535",12799,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100389698/manifest.json
1955,"Archives départementales du Rhône, H(048) 0021",12800,https://bvmm.irht.cnrs.fr/iiif/33143/manifest
1961,"Archives départementales du Gers, G 0019",12806,https://bvmm.irht.cnrs.fr/iiif/1171/manifest
1966,"Bibliothèque nationale de France, lat. 05448",11460,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10036483t/manifest.json
1977,"Bibliothèque de la Société Eduenne, 051",11461,https://bvmm.irht.cnrs.fr/iiif/22854/manifest
1982,"Archives municipales de Falaise, GG (386 Edt 635)",12824,https://bvmm.irht.cnrs.fr/iiif/33159/manifest
1993,"Centre historique des Archives nationales, MM 0210",12834,https://bvmm.irht.cnrs.fr/iiif/33595/manifest
2019,"Archives départementales de l'Isère, G(004) 0040",12858,https://bvmm.irht.cnrs.fr/iiif/32732/manifest
2024,"Archives départementales de l'Isère, Inv. 38, n°182",12862,https://bvmm.irht.cnrs.fr/iiif/32729/manifest
2028,"Archives départementales de l'Aisne, J 2121",12866,https://bvmm.irht.cnrs.fr/iiif/32651/manifest
2029,"Archives départementales de la Seine-Maritime, H(009) 0005",12867,https://bvmm.irht.cnrs.fr/iiif/32900/manifest
2033,"Archives départementales de l'Oise, H 2650",12870,https://bvmm.irht.cnrs.fr/iiif/31571/manifest
2093,"Bibliothèque municipale de Chartres, 1059 (H.1.44)",12924,https://bvmm.irht.cnrs.fr/iiif/100/manifest
2094,"Bibliothèque nationale de France, nouv. acq. lat. 1408",12925,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100391432/manifest.json
2096,"Bibliothèque municipale de Lyon, Coste 0423 (3496)",12927,https://bvmm.irht.cnrs.fr/iiif/33400/manifest
